"date_value","ZCTA_GEOID","Retail Theft","Theft","Fraud/Theft of Services","Vandalism","Alcohol Possession by Minor","Public Drunkenness","Trespass","Disorderly Conduct","Minor Violations (Open Container, Public Urination, Smoking Violation)","Uncategorized Offenses","<NA>"
2015-01-09,"19144",0,0,0,0,0,0,0,0,0,0,0
2015-01-09,"19145",0,0,0,0,0,0,0,0,0,32,0
2015-01-09,"19146",0,0,0,0,0,0,0,0,0,0,0
2015-01-09,"19147",0,0,0,0,0,0,0,0,0,0,0
2015-01-09,"19148",0,0,0,0,0,0,0,0,0,0,0
2015-01-09,"19149",38,0,0,0,0,0,0,0,42,0,0
2015-01-09,"19150",0,0,0,0,0,0,0,0,0,0,0
2015-01-09,"19151",0,0,0,0,0,0,0,0,0,0,72
2015-01-09,"19152",0,0,0,0,0,0,0,0,0,0,0
2015-01-09,"19153",0,0,0,0,0,0,0,0,0,0,0
2015-01-09,"19154",0,0,0,0,0,0,0,0,0,0,0
2015-01-09,"Unknown",0,0,133,0,0,0,0,135,132,135,133
2015-01-10,"19102",0,0,129,0,0,43,0,98,108,108,0
2015-01-10,"19103",1698,0,0,0,0,0,0,108,0,0,0
2015-01-10,"19104",0,0,0,0,0,0,0,0,81,0,0
2015-01-10,"19106",0,0,121,0,30,41,0,0,0,130,0
2015-01-10,"19107",0,0,0,0,0,0,0,44,125,48,0
2015-01-10,"19109",0,0,0,0,0,0,0,0,0,0,0
2015-01-10,"19111",66,0,0,0,0,0,0,0,0,0,0
2015-01-10,"19112",0,0,0,0,0,0,0,0,0,0,0
2015-01-10,"19114",37,0,0,0,0,0,0,0,0,0,0
2015-01-10,"19115",43,0,0,0,0,0,0,0,0,0,0
2015-01-10,"19116",42,0,0,0,0,0,0,0,0,0,0
2015-01-10,"19118",29,0,0,0,0,0,0,0,0,0,0
2015-01-10,"19119",0,0,0,0,0,0,0,0,0,0,0
2015-01-10,"19120",0,0,0,0,0,0,0,0,0,0,0
2015-01-10,"19121",32,0,0,0,0,114,0,63,99,77,0
2015-01-10,"19122",138,0,0,0,83,0,0,0,0,0,0
2015-01-10,"19123",0,0,0,0,43,0,55,0,50,87,0
2015-01-10,"19124",55,0,126,0,0,0,0,129,0,0,0
2015-01-10,"19125",36,0,0,0,0,0,0,0,0,0,0
2015-01-10,"19126",0,0,0,0,0,0,0,0,0,0,0
2015-01-10,"19127",0,0,0,0,0,0,0,80,0,0,0
2015-01-10,"19128",0,0,0,0,0,0,0,42,0,0,0
2015-01-10,"19129",0,0,0,0,0,0,0,0,0,0,0
2015-01-10,"19130",101,0,0,0,0,0,0,113,0,0,0
2015-01-10,"19131",74,0,0,0,0,0,0,143,140,49,0
2015-01-10,"19132",0,0,0,0,0,0,0,59,106,0,0
2015-01-10,"19133",0,0,0,0,0,0,0,0,0,56,0
2015-01-10,"19134",0,0,119,0,0,61,60,23,116,1074,0
2015-01-10,"19135",0,0,0,0,0,0,0,0,0,0,0
2015-01-10,"19136",0,0,0,0,0,0,0,0,0,0,0
2015-01-10,"19137",38,0,37,0,0,0,0,45,0,0,0
2015-01-10,"19138",0,0,0,0,0,0,0,0,0,0,0
2015-01-10,"19139",0,0,113,0,0,0,0,0,48,74,0
2015-01-10,"19140",41,0,0,0,0,0,0,59,0,0,0
2015-01-10,"19141",586,0,110,0,0,0,0,0,0,131,0
2015-01-10,"19142",0,0,0,0,0,0,0,0,0,0,0
2015-01-10,"19143",0,37,0,0,0,0,0,78,0,0,0
2015-01-10,"19144",0,0,0,0,0,0,0,0,0,0,0
2015-01-10,"19145",836,0,0,0,0,0,0,0,126,0,0
2015-01-10,"19146",0,0,0,0,0,0,0,112,108,0,0
2015-01-10,"19147",111,0,0,0,0,0,51,148,82,51,0
2015-01-10,"19148",39,0,0,0,0,0,0,19,0,0,0
2015-01-10,"19149",83,0,0,0,0,0,0,87,0,0,0
2015-01-10,"19150",0,0,0,0,0,0,0,0,0,0,0
2015-01-10,"19151",0,0,0,0,0,0,0,0,0,0,0
2015-01-10,"19152",0,0,0,0,0,0,0,0,109,0,0
2015-01-10,"19153",0,0,0,0,0,0,0,20,0,0,0
2015-01-10,"19154",0,0,0,0,64,0,0,0,0,0,0
2015-01-10,"Unknown",0,0,142,0,148,43,166,148,134,168,0
2015-01-12,"19102",0,0,105,0,0,63,0,0,105,0,0
2015-01-12,"19103",62,0,0,0,0,0,0,0,0,0,0
2015-01-12,"19104",0,0,0,0,0,0,0,0,65,0,0
2015-01-12,"19106",0,0,0,0,0,0,0,0,0,0,0
2015-01-12,"19107",1091,0,0,0,0,0,0,0,104,86,0
2015-01-12,"19109",0,0,0,0,0,0,0,0,0,0,0
2015-01-12,"19111",62,0,0,0,0,0,0,0,0,0,0
2015-01-12,"19112",0,0,0,0,0,0,0,0,0,0,0
2015-01-12,"19114",62,0,0,0,0,0,0,0,74,0,0
2015-01-12,"19115",0,0,0,0,0,0,0,0,0,0,0
2015-01-12,"19116",0,0,0,0,0,0,0,0,0,0,0
2015-01-12,"19118",0,0,0,0,0,0,0,0,0,0,0
2015-01-12,"19119",0,0,0,0,0,0,0,0,0,0,0
2015-01-12,"19120",0,0,0,0,0,0,0,0,0,0,0
2015-01-12,"19121",0,0,0,0,0,79,0,67,96,96,0
2015-01-12,"19122",0,0,0,0,0,0,0,0,0,0,0
2015-01-12,"19123",0,0,0,0,0,0,0,0,100,0,0
2015-01-12,"19124",78,0,0,0,0,0,105,0,116,72,0
2015-01-12,"19125",34,0,0,0,0,0,65,0,90,65,0
2015-01-12,"19126",0,0,0,0,0,0,0,0,0,0,0
2015-01-12,"19127",0,0,0,0,0,0,0,0,0,0,0
2015-01-12,"19128",180,0,0,0,0,0,0,0,0,0,0
2015-01-12,"19129",0,0,0,0,0,0,0,0,0,0,0
2015-01-12,"19130",0,0,0,0,0,0,0,0,0,0,0
2015-01-12,"19131",0,0,0,0,0,0,0,0,54,0,0
2015-01-12,"19132",62,0,0,0,0,33,0,0,0,0,0
2015-01-12,"19133",0,0,0,0,0,0,40,44,100,59,0
2015-01-12,"19134",0,0,0,0,0,87,81,0,129,99,0
2015-01-12,"19135",0,0,0,0,0,0,0,132,0,0,0
2015-01-12,"19136",0,0,0,0,0,0,0,0,0,0,0
2015-01-12,"19137",75,0,0,0,0,0,0,0,0,0,0
2015-01-12,"19138",0,0,0,0,0,0,0,0,72,0,0
2015-01-12,"19139",0,0,0,0,0,0,0,73,71,42,0
2015-01-12,"19140",188,0,0,0,0,0,0,0,0,0,0
2015-01-12,"19141",0,0,0,0,0,0,131,73,0,0,0
2015-01-12,"19142",0,0,0,0,0,0,0,0,65,72,0
2015-01-12,"19143",0,0,0,0,0,0,0,0,228,53,0
2015-01-12,"19144",0,0,0,0,0,0,0,0,65,0,0
2015-01-12,"19145",110,0,0,0,0,0,0,0,0,0,0
2015-01-12,"19146",0,0,0,0,0,0,0,72,65,138,0
2015-01-12,"19147",0,0,0,0,0,0,0,0,0,0,0
2015-01-12,"19148",128,0,0,0,0,0,0,72,70,0,0
2015-01-12,"19149",0,0,0,0,0,0,0,0,65,0,0
2015-01-12,"19150",0,0,0,0,0,0,0,0,0,0,0
2015-01-12,"19151",0,0,0,0,0,0,0,0,67,0,0
2015-01-12,"19152",0,0,0,0,0,0,0,0,74,0,0
2015-01-12,"19153",0,0,0,0,0,0,0,0,0,0,0
2015-01-12,"19154",0,0,128,0,0,0,0,0,0,0,0
2015-01-12,"Unknown",0,0,146,0,0,0,144,0,138,194,0
2015-01-13,"19102",0,0,0,0,0,0,0,0,130,0,0
2015-01-13,"19103",0,0,0,0,0,0,130,0,133,0,0
2015-01-13,"19104",0,0,0,76,0,0,0,52,45,40,0
2015-01-13,"19106",0,0,133,0,0,0,0,40,0,50,0
2015-01-13,"19107",42,0,131,0,0,133,0,128,129,116,132
2015-01-13,"19109",0,0,0,0,0,0,0,0,0,0,0
2015-01-13,"19111",0,0,0,0,0,0,0,0,0,0,0
2015-01-13,"19112",0,0,0,0,0,0,0,0,0,0,0
2015-01-13,"19114",106,0,0,0,0,0,0,0,39,38,0
2015-01-13,"19115",0,0,0,0,0,0,0,0,0,0,0
2015-01-13,"19116",0,0,0,0,0,0,0,0,0,0,0
2015-01-13,"19118",0,0,0,0,0,0,0,0,0,0,0
2015-01-13,"19119",0,0,0,0,0,0,0,0,0,0,0
2015-01-13,"19120",0,0,0,0,0,0,0,0,0,0,0
2015-01-13,"19121",80,0,0,0,0,0,0,0,0,0,0
2015-01-13,"19122",0,0,0,0,0,0,0,0,0,0,0
2015-01-13,"19123",0,0,0,0,0,0,0,0,0,39,0
2015-01-13,"19124",0,0,125,0,0,0,0,60,89,127,0
2015-01-13,"19125",0,0,128,0,0,0,52,133,0,0,0
2015-01-13,"19126",0,0,0,0,0,0,0,0,0,0,0
2015-01-13,"19127",0,0,0,0,0,0,0,0,0,0,0
2015-01-13,"19128",0,0,0,0,0,0,0,0,0,0,0
2015-01-13,"19129",0,0,0,0,0,0,0,0,0,0,0
2015-01-13,"19130",0,0,0,0,0,0,0,0,40,0,0
2015-01-13,"19131",0,0,0,0,0,45,0,0,38,44,0
2015-01-13,"19132",207,0,0,0,0,0,0,0,95,0,0
2015-01-13,"19133",0,133,128,0,0,0,0,0,0,0,0
2015-01-13,"19134",41,0,112,0,0,0,52,130,96,75,0
2015-01-13,"19135",0,0,0,0,0,0,0,0,0,0,0
2015-01-13,"19136",0,0,0,0,0,0,0,41,39,39,0
2015-01-13,"19137",42,0,0,0,0,0,0,0,0,0,0
2015-01-13,"19138",1362,0,0,0,0,0,0,0,0,0,0
2015-01-13,"19139",0,0,0,0,0,0,0,0,45,45,0
2015-01-13,"19140",0,0,94,0,0,0,0,0,0,0,0
2015-01-13,"19141",0,0,0,0,0,0,0,0,0,0,0
2015-01-13,"19142",0,0,0,0,0,0,0,0,58,62,0
2015-01-13,"19143",0,0,0,0,0,0,0,0,49,110,0
2015-01-13,"19144",0,0,0,0,0,0,0,0,39,0,0
2015-01-13,"19145",0,0,0,0,0,0,0,0,0,130,0
2015-01-13,"19146",0,0,0,0,0,0,0,0,0,0,0
2015-01-13,"19147",0,0,0,0,0,0,0,0,0,0,0
2015-01-13,"19148",0,0,0,0,0,0,0,0,0,0,0
2015-01-13,"19149",0,0,0,0,0,0,0,0,0,0,0
2015-01-13,"19150",0,0,0,0,0,0,0,0,0,0,0
2015-01-13,"19151",0,0,0,0,0,0,0,0,0,45,0
2015-01-13,"19152",0,0,0,0,0,0,0,0,53,0,0
2015-01-13,"19153",0,0,0,0,0,0,0,0,0,0,0
2015-01-13,"19154",0,0,0,0,0,0,0,0,0,0,0
2015-01-13,"Unknown",0,0,134,0,0,0,0,134,98,134,0
2015-01-14,"19102",0,0,123,0,0,0,118,117,118,118,0
2015-01-14,"19103",0,0,0,0,0,0,0,106,0,117,0
2015-01-14,"19104",0,0,0,0,0,0,0,0,120,0,0
2015-01-14,"19106",0,0,117,0,0,0,0,0,0,0,0
2015-01-14,"19107",0,0,123,0,0,0,0,0,120,103,0
2015-01-14,"19109",0,0,0,0,0,0,0,54,0,0,0
2015-01-14,"19111",141,0,0,0,0,0,0,0,0,0,0
2015-01-14,"19112",0,0,0,0,0,0,0,0,0,0,0
2015-01-14,"19114",0,0,0,0,0,0,0,0,55,0,0
2015-01-14,"19115",0,0,0,0,0,0,0,0,0,0,0
2015-01-14,"19116",0,0,0,0,0,0,0,0,0,0,0
2015-01-14,"19118",0,0,0,0,0,0,0,0,0,0,0
2015-01-14,"19119",0,0,0,0,0,0,0,0,0,0,0
2015-01-14,"19120",0,0,0,0,0,0,0,0,0,0,0
2015-01-14,"19121",0,0,118,0,0,165,0,67,0,152,0
2015-01-14,"19122",0,0,0,0,0,0,0,0,0,118,0
2015-01-14,"19123",0,0,123,0,0,0,0,0,123,0,0
2015-01-14,"19124",0,0,123,0,0,116,0,108,126,124,0
2015-01-14,"19125",0,0,129,0,0,0,55,0,0,124,0
2015-01-14,"19126",0,0,0,0,0,0,0,0,0,0,0
2015-01-14,"19127",0,0,0,0,0,0,0,0,0,0,0
2015-01-14,"19128",0,0,0,0,0,0,0,0,0,0,0
2015-01-14,"19129",0,0,0,0,0,0,0,0,0,0,0
2015-01-14,"19130",0,0,0,0,0,0,0,0,120,0,0
2015-01-14,"19131",0,0,0,0,0,0,0,0,50,57,0
2015-01-14,"19132",0,0,0,0,0,0,120,0,0,128,0
2015-01-14,"19133",0,0,0,0,0,0,0,0,17,60,0
2015-01-14,"19134",0,0,125,0,0,0,0,123,126,118,0
2015-01-14,"19135",0,0,0,0,0,0,0,0,0,0,0
2015-01-14,"19136",0,0,0,0,0,0,0,0,0,0,0
2015-01-14,"19137",452,0,0,0,0,0,0,0,0,0,0
2015-01-14,"19138",0,0,0,0,0,0,0,0,0,0,0
2015-01-14,"19139",0,0,120,0,0,0,0,0,84,116,0
2015-01-14,"19140",0,0,114,0,0,0,0,118,118,132,0
2015-01-14,"19141",0,0,0,0,0,0,0,0,118,118,0
2015-01-14,"19142",0,0,0,0,0,0,0,0,0,0,0
2015-01-14,"19143",0,0,0,0,0,0,0,0,0,0,0
2015-01-14,"19144",0,0,0,0,0,0,0,0,1426,0,0
2015-01-14,"19145",0,0,0,0,0,0,0,0,0,67,0
2015-01-14,"19146",234,0,0,0,0,0,0,0,0,0,0
2015-01-14,"19147",0,0,0,0,0,0,0,0,0,0,0
2015-01-14,"19148",0,0,0,0,0,0,0,38,56,0,0
2015-01-14,"19149",0,0,0,0,0,0,0,0,0,0,0
2015-01-14,"19150",0,0,0,0,0,0,0,0,0,0,0
2015-01-14,"19151",0,0,0,0,0,0,0,0,45,0,0
2015-01-14,"19152",0,0,0,0,0,0,0,0,61,0,0
2015-01-14,"19153",0,0,0,0,0,0,0,0,0,0,0
2015-01-14,"19154",0,0,0,0,0,0,0,0,61,0,0
2015-01-14,"Unknown",0,0,187,0,0,0,0,138,0,160,0
2015-01-15,"19102",0,0,117,0,0,0,0,0,112,43,114
2015-01-15,"19103",0,0,0,0,0,0,0,0,42,16,0
