"date_value","dc_district","Retail Theft","Theft","Fraud/Theft of Services","Vandalism","Alcohol Possession by Minor","Public Drunkenness","Trespass","Disorderly Conduct","Minor Violations (Open Container, Public Urination, Smoking Violation)","Uncategorized Offenses"
2016-06-13,"71",0,0,0,0,0,0,0,0,0,0
2016-06-13,"77",0,0,0,0,0,0,0,0,0,0
2016-06-14,"01",0,0,0,0,0,0,0,0,0,0
2016-06-14,"02",1,0,0,0,0,0,0,0,2,1
2016-06-14,"03",0,0,0,0,0,0,0,0,0,0
2016-06-14,"05",0,0,0,0,0,0,0,0,0,0
2016-06-14,"06",1,0,0,0,0,0,1,1,2,0
2016-06-14,"07",0,0,0,0,0,0,0,0,0,0
2016-06-14,"08",0,0,0,0,0,0,0,0,0,0
2016-06-14,"09",0,0,1,0,0,0,1,0,0,0
2016-06-14,"12",0,0,0,0,0,0,0,1,0,0
2016-06-14,"14",0,0,0,0,0,1,0,0,0,0
2016-06-14,"15",0,0,1,0,0,0,2,1,0,0
2016-06-14,"16",0,0,0,0,0,0,0,0,0,0
2016-06-14,"17",0,0,0,1,0,0,0,0,2,0
2016-06-14,"18",0,0,2,0,0,0,0,0,0,0
2016-06-14,"19",1,0,1,0,0,0,0,0,0,0
2016-06-14,"22",0,0,2,0,0,0,0,0,2,0
2016-06-14,"24",1,1,0,0,0,0,1,0,0,0
2016-06-14,"25",0,0,0,0,0,1,2,0,0,0
2016-06-14,"26",0,0,0,0,0,0,0,0,0,0
2016-06-14,"35",0,0,2,0,0,0,0,0,1,1
2016-06-14,"39",0,0,0,0,0,0,0,0,0,0
2016-06-14,"49",0,0,0,0,0,0,0,0,0,0
2016-06-14,"71",0,0,0,0,0,0,0,0,0,0
2016-06-14,"77",0,0,0,0,0,0,0,0,0,0
2016-06-15,"01",0,0,0,0,0,0,0,0,0,0
2016-06-15,"02",1,0,0,0,0,0,0,0,2,0
2016-06-15,"03",0,0,0,0,0,0,1,0,0,0
2016-06-15,"05",0,0,0,0,0,0,0,0,0,0
2016-06-15,"06",0,0,2,0,0,0,2,3,7,0
2016-06-15,"07",0,0,0,0,0,0,0,0,0,0
2016-06-15,"08",0,0,0,0,0,0,0,0,0,0
2016-06-15,"09",0,0,1,0,0,0,1,0,0,0
2016-06-15,"12",0,0,0,0,0,0,0,0,0,0
2016-06-15,"14",0,0,0,0,0,0,1,0,0,0
2016-06-15,"15",0,0,1,0,0,0,0,1,0,0
2016-06-15,"16",0,0,0,0,0,0,0,0,0,0
2016-06-15,"17",0,0,0,0,0,0,0,0,0,0
2016-06-15,"18",0,0,1,0,0,0,0,2,0,0
2016-06-15,"19",0,0,0,0,0,0,0,0,0,0
2016-06-15,"22",1,0,2,0,0,0,0,0,0,0
2016-06-15,"24",0,0,1,0,0,0,6,0,1,0
